numero;b1;b2;b3;b4;b5;i1;i2;i3;i4;i5;n1;n2;n3;n4;n5;g1;g2;g3;g4;g5;o1;o2;o3;o4;o5;Activo;Nombre;Cedula;Telefono
1;13;8;14;12;4;27;23;17;21;24;35;40;0;36;42;48;49;58;55;54;68;66;62;71;65;-1;No;No;No
2;13;4;1;12;14;21;25;16;27;26;34;44;0;39;33;59;46;49;47;54;66;64;63;70;73;-1;No;No;No
3;6;7;12;3;4;22;21;24;20;26;36;39;0;38;42;49;50;57;58;55;74;63;72;64;68;-1;No;No;No
4;9;1;3;15;12;19;25;18;20;17;40;43;0;38;35;48;47;55;58;54;61;68;65;67;70;-1;No;No;No
5;6;9;11;14;13;19;20;16;23;28;37;41;0;36;42;58;52;53;60;57;73;62;68;74;69;-1;No;No;No
6;11;8;6;5;2;24;22;27;16;25;32;42;0;35;44;53;51;57;50;46;63;70;67;65;74;-1;No;No;No
7;9;6;2;13;12;17;21;26;20;28;35;39;0;42;32;48;51;59;53;56;75;74;61;73;65;-1;No;No;No
8;9;11;10;8;6;26;28;20;23;29;45;44;0;38;39;52;57;46;49;55;68;61;69;71;63;-1;No;No;No
9;8;14;7;1;9;26;27;23;19;17;38;42;0;34;31;57;55;52;53;49;74;63;69;67;64;-1;No;No;No
10;3;7;9;10;4;23;18;17;20;24;41;36;0;45;38;51;55;52;50;49;62;61;70;65;66;-1;No;No;No
11;4;13;12;14;3;21;28;30;27;25;40;35;0;45;42;53;47;50;60;58;64;72;67;63;65;-1;No;No;No
12;1;8;4;5;3;21;17;27;25;26;44;37;0;39;34;49;55;47;58;46;65;74;73;71;64;-1;No;No;No
13;12;11;9;3;8;23;27;25;28;24;40;39;0;41;38;49;48;57;46;51;64;66;72;75;71;-1;No;No;No
14;3;5;14;13;10;20;25;24;22;29;34;43;0;32;44;48;58;57;52;53;65;68;72;61;69;-1;No;No;No
15;2;13;14;5;4;25;18;27;24;23;41;42;0;31;34;57;60;49;46;55;66;65;69;74;63;-1;No;No;No
16;8;1;13;4;9;18;20;28;25;26;40;33;0;42;35;56;57;46;47;59;70;63;72;61;71;-1;No;No;No
